Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
1,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
2,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
2,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
2,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
3,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
4,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
5,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
5,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
5,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
6,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
6,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
6,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
7,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
7,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
7,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.01,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.01,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.01,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.01,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.01,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.2,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.2,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.2,0.3,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.3,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.2,0.3,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.3,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
8,0.2,0.3,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.3,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
8,0.2,0.3,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
8,0.2,0.3,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
