,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
1108,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11955,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14027,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14166,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
14509,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
15933,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23787,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23925,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24101,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
24398,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
24831,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
25399,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0
25400,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25432,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
26330,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
26993,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27121,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
28421,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28891,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36095,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36284,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
36540,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
36699,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
37346,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
37371,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0
37372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
